시점,동,화재건수
2020,풍납1동,5
2020,풍납2동,10
2020,거여1동,6
2020,거여2동,8
2020,마천1동,7
2020,마천2동,13
2020,방이1동,4
2020,방이2동,23
2020,오륜동,10
2020,오금동,18
2020,송파1동,18
2020,송파2동,4
2020,석촌동,28
2020,삼전동,15
2020,가락본동,16
2020,가락1동,11
2020,가락2동,12
2020,문정1동,7
2020,문정2동,20
2020,잠실본동,29
2020,잠실4동,3
2020,잠실6동,7
2020,잠실7동,1
2020,잠실2동,3
2020,잠실3동,7
2020,장지동,16
2020,위례동,6
2021,풍납1동,3
2021,풍납2동,13
2021,거여1동,5
2021,거여2동,6
2021,마천1동,15
2021,마천2동,7
2021,방이1동,7
2021,방이2동,15
2021,오륜동,3
2021,오금동,17
2021,송파1동,13
2021,송파2동,6
2021,석촌동,16
2021,삼전동,18
2021,가락본동,15
2021,가락1동,7
2021,가락2동,12
2021,문정1동,8
2021,문정2동,8
2021,잠실본동,33
2021,잠실4동,-
2021,잠실6동,7
2021,잠실7동,2
2021,잠실2동,8
2021,잠실3동,4
2021,장지동,6
2021,위례동,9
2022,풍납1동,3
2022,풍납2동,12
2022,거여1동,8
2022,거여2동,12
2022,마천1동,12
2022,마천2동,15
2022,방이1동,5
2022,방이2동,28
2022,오륜동,9
2022,오금동,25
2022,송파1동,22
2022,송파2동,9
2022,석촌동,15
2022,삼전동,23
2022,가락본동,16
2022,가락1동,12
2022,가락2동,17
2022,문정1동,13
2022,문정2동,19
2022,잠실본동,27
2022,잠실4동,2
2022,잠실6동,13
2022,잠실7동,2
2022,잠실2동,8
2022,잠실3동,6
2022,장지동,9
2022,위례동,8
