시점,동,소계,단독주택,아파트,연립주택,다세대주택,비거주용건물내주택
2020,풍납1동,3296,892,1596,204,562,42
2020,풍납2동,7608,499,5535,178,1341,55
2020,거여1동,3552,410,1542,212,1345,43
2020,거여2동,5382,306,4442,61,544,29
2020,마천1동,5299,986,2326,171,1748,68
2020,마천2동,5354,938,1321,404,2595,96
2020,방이1동,4921,127,2146,310,2250,88
2020,방이2동,8214,342,1212,621,5948,91
2020,오륜동,5543,X,5540,X,X,X
2020,오금동,12963,367,7216,560,4674,146
2020,송파1동,9335,405,1267,393,7168,102
2020,송파2동,6583,120,4575,155,1705,28
2020,석촌동,12091,510,1066,423,9931,161
2020,삼전동,11497,477,479,284,10168,89
2020,가락본동,8410,332,4975,231,2742,130
2020,가락1동,9716,X,9716,X,X,X
2020,가락2동,10424,273,6417,188,3452,94
2020,문정1동,6783,223,3181,187,3102,90
2020,문정2동,5607,X,5606,X,X,X
2020,잠실본동,9583,593,1145,124,7576,145
2020,잠실4동,6866,X,6864,X,X,X
2020,잠실6동,5372,X,5372,X,X,X
2020,잠실7동,3198,X,3198,X,X,X
2020,잠실2동,11241,X,11241,X,X,X
2020,잠실3동,11046,X,11046,X,X,X
2020,장지동,11732,269,8253,194,2945,71
2020,위례동,9962,X,9962,X,X,X
