연도,화재총합(건),실화(건),방화(건),기타(건),소실면적(m²),피해액총합(천원),부동산피해(천원),동산피해(천원),인명피해합(명),사망총합(명),부상총합(명)
2021-01-01,521,465,10,46,"2,024","1,719,054","802,144","916,910",33,6,27
2021-02-01,393,343,10,40,"2,685","2,263,899","501,894","1,762,005",24,4,20
2021-03-01,433,372,11,50,"3,482","1,219,601","581,442","638,159",35,2,33
2021-04-01,431,385,7,39,"1,150","734,324","347,402","386,922",12,0,12
2021-05-01,378,338,4,36,"1,420","1,646,823","461,942","1,184,881",57,2,55
2021-06-01,349,309,8,32,"1,033","946,369","452,266","494,103",17,3,14
2021-07-01,478,433,7,38,"1,154","1,243,441","476,476","766,965",18,3,15
2021-08-01,359,319,5,35,850,"1,483,867","670,360","813,507",26,4,22
2021-09-01,379,342,5,32,989,"954,762","418,159","536,603",25,4,21
2021-10-01,388,342,7,39,"1,324","1,358,182","428,998","929,184",32,2,30
2021-11-01,389,346,5,38,"3,568","2,047,336","963,882","1,083,454",16,3,13
2021-12-01,453,405,8,40,"2,044","2,650,688","767,207","1,883,481",22,4,18
