자치구,2021. 01,2021. 02,2021. 03,2021. 04,2021. 05,2021. 06,2021. 07,2021. 08,2021. 09,2021. 10,2021. 11,2021. 12,2022. 01,2022. 02,2022. 03,2022. 04,2022. 05,2022. 06,2022. 07,2022. 08,2022. 09,2022. 10,2022. 11,2022. 12
종로구,18,9,18,14,16,15,26,13,15,14,13,21,14,15,17,15,20,10,17,18,19,13,17,16
중구,19,7,16,11,7,11,19,19,20,11,16,15,20,25,16,15,12,15,17,16,10,13,16,15
용산구,14,18,14,22,15,14,13,9,15,12,15,15,22,7,21,21,20,13,16,20,10,14,18,25
성동구,17,17,15,14,15,19,17,18,13,15,17,14,17,21,17,19,28,13,19,16,16,17,9,23
광진구,17,12,13,16,20,19,26,11,15,13,26,17,16,10,9,13,15,12,15,12,8,15,8,12
동대문구,22,13,13,12,10,9,18,13,11,11,7,16,13,15,14,19,15,12,17,15,15,13,13,12
중랑구,25,17,23,10,13,16,25,18,12,19,14,21,12,18,22,17,26,22,19,12,12,9,6,13
성북구,24,15,10,14,15,6,14,17,12,15,9,17,17,13,10,10,18,12,14,4,12,10,17,21
강북구,13,5,10,16,14,14,15,9,16,14,9,11,18,12,7,15,18,14,14,18,8,9,7,15
도봉구,16,8,16,12,13,14,10,10,9,14,9,9,16,8,12,16,13,16,10,10,13,19,9,17
노원구,15,19,13,14,16,12,24,13,14,9,10,14,18,10,14,22,14,12,13,12,15,13,10,16
은평구,22,17,8,10,11,7,19,16,10,9,13,18,20,14,10,18,18,16,20,19,16,20,19,27
서대문구,28,23,21,18,15,19,18,15,35,22,22,26,23,12,24,26,24,15,16,14,19,16,13,21
마포구,26,18,23,23,15,13,26,14,16,28,20,20,22,27,23,23,20,19,26,20,19,18,15,18
양천구,21,12,12,21,9,16,16,10,8,9,8,9,7,20,7,11,17,7,9,20,10,14,16,21
강서구,22,16,27,17,21,16,20,14,13,13,21,23,15,19,19,22,20,18,18,17,20,17,13,25
구로구,25,12,17,14,10,9,16,8,14,19,14,15,17,10,12,22,20,22,29,21,23,14,14,18
금천구,15,8,15,4,6,8,12,8,5,15,8,14,12,19,19,13,26,27,15,13,18,17,14,21
영등포구,15,18,15,25,18,17,22,14,16,12,19,17,18,19,20,21,20,18,21,25,33,20,17,17
동작구,14,10,10,9,11,4,14,9,7,13,10,18,11,17,15,12,21,16,12,17,16,14,17,19
관악구,33,18,17,27,16,13,17,24,25,21,25,23,20,21,16,26,26,17,30,25,17,31,30,46
서초구,19,24,16,15,29,16,19,16,16,19,16,26,28,23,15,22,19,16,15,11,12,16,17,22
강남구,43,35,39,38,33,30,29,32,21,28,29,34,32,40,26,37,43,33,38,37,42,34,22,53
송파구,24,20,33,30,15,16,25,18,23,18,21,20,22,28,28,44,39,29,31,24,21,28,19,37
강동구,14,22,19,25,15,16,18,11,18,15,18,20,18,16,14,22,19,16,18,16,12,11,12,20
